k,eps,Option1,Option2,D_0,Lambdamin,Lambdamax,Increasing,RBDeval,ETol,ps,Elapsed Time
1.02,0.005,1,2,0.7,1.00546875,1.00625,1,-9.85E-05,0.001,0.1,13.0761499
1.02,0.01,1,2,0.7,1.00546875,1.00625,1,-0.000196518,0.001,0.1,10.6363752
1.02,0.03,1,2,0.7,1.0046875,1.00546875,1,0.000208519,0.001,0.1,10.208785
1.02,0.05,1,2,0.7,1.0046875,1.00546875,1,-0.000183363,0.001,0.1,10.2189724
1.02,0.075,1,2,0.7,1.00390625,1.0046875,1,0.000125979,0.001,0.1,10.3710014
1.02,0.1,1,2,0.7,1.00390625,1.0046875,1,-0.000363113,0.001,0.1,10.523651
1.02,0.15,1,2,0.7,1.00234375,1.003125,1,0.000257073,0.001,0.1,10.3517485
1.02,0.2,1,2,0.7,1.0015625,1.00234375,1,7.73E-05,0.001,0.1,10.3832886
1.02,0.25,1,2,0.7,1.00078125,1.0015625,1,-9.49E-05,0.001,0.1,10.9994589
1.02,0.3,1,2,0.7,1,1.00078125,1,-0.000273142,0.001,0.1,11.9047335
1.02,0.35,1,2,0.7,0.9984375,0.99921875,1,0.000356105,0.001,0.1,10.1502591
1.02,0.4,1,2,0.7,0.99765625,0.9984375,1,0.000191513,0.001,0.1,10.8577064
1.02,0.45,1,2,0.7,0.996875,0.99765625,1,1.63E-05,0.001,0.1,10.1465653
1.02,0.5,1,2,0.7,0.99609375,0.996875,1,-0.000143789,0.001,0.1,10.0276032
1.02,0.55,1,2,0.7,0.9953125,0.99609375,1,-0.000317543,0.001,0.1,10.1225842
1.02,0.6,1,2,0.7,0.99375,0.99453125,1,0.000323797,0.001,0.1,10.2780832
1.02,0.65,1,2,0.7,0.99296875,0.99375,1,0.000171333,0.001,0.1,10.2469284
1.02,0.7,1,2,0.7,0.9921875,0.99296875,1,5.90E-07,0.001,0.1,10.3751997
1.02,0.75,1,2,0.7,0.99140625,0.9921875,1,-0.000147324,0.001,0.1,10.0128329
1.02,0.8,1,2,0.7,0.990625,0.99140625,1,-0.000316562,0.001,0.1,10.5811301
1.02,0.85,1,2,0.7,0.9890625,0.98984375,1,0.00033687,0.001,0.1,10.8940763
1.02,0.9,1,2,0.7,0.98828125,0.9890625,1,0.000196535,0.001,0.1,10.5719882
1.02,0.95,1,2,0.7,0.9875,0.98828125,1,3.03E-05,0.001,0.1,10.5257295
1.02,1,1,2,0.7,0.98671875,0.9875,1,-0.000105476,0.001,0.1,10.8321604
1.04,0.005,1,2,0.7,1.0109375,1.01171875,1,-7.07E-05,0.001,0.1,11.1410527
1.04,0.01,1,2,0.7,1.0109375,1.01171875,1,-0.000264141,0.001,0.1,11.0897742
1.04,0.03,1,2,0.7,1.01015625,1.0109375,1,-0.000223401,0.001,0.1,11.2106646
1.04,0.05,1,2,0.7,1.009375,1.01015625,1,-0.000183274,0.001,0.1,11.0855234
1.04,0.075,1,2,0.7,1.00859375,1.009375,1,-0.000331816,0.001,0.1,16.070806
1.04,0.1,1,2,0.7,1.00703125,1.0078125,1,0.000335236,0.001,0.1,19.3606624
1.04,0.15,1,2,0.7,1.00546875,1.00625,1,4.40E-05,0.001,0.1,20.461796
1.04,0.2,1,2,0.7,1.00390625,1.0046875,1,-0.00024131,0.001,0.1,18.3259804
1.04,0.25,1,2,0.7,1.0015625,1.00234375,1,0.000291812,0.001,0.1,18.562338
1.04,0.3,1,2,0.7,1,1.00078125,1,1.83E-05,0.001,0.1,18.7309456
1.04,0.35,1,2,0.7,0.9984375,0.99921875,1,-0.000249359,0.001,0.1,17.6710569
1.04,0.4,1,2,0.7,0.99609375,0.996875,1,0.000325266,0.001,0.1,17.8012496
1.04,0.45,1,2,0.7,0.99453125,0.9953125,1,7.24E-05,0.001,0.1,17.5423298
1.04,0.5,1,2,0.7,0.99296875,0.99375,1,-0.000174551,0.001,0.1,17.8922715
1.04,0.55,1,2,0.7,0.990625,0.99140625,1,0.000396766,0.001,0.1,18.8221452
1.04,0.6,1,2,0.7,0.9890625,0.98984375,1,0.000161595,0.001,0.1,17.6899995
1.04,0.65,1,2,0.7,0.9875,0.98828125,1,-6.77E-05,0.001,0.1,17.8912159
1.04,0.7,1,2,0.7,0.9859375,0.98671875,1,-0.000291028,0.001,0.1,20.3419798
1.04,0.75,1,2,0.7,0.98359375,0.984375,1,0.000348593,0.001,0.1,12.8834535
1.04,0.8,1,2,0.7,0.98203125,0.9828125,1,0.00014001,0.001,0.1,15.4015009
1.04,0.85,1,2,0.7,0.98046875,0.98125,1,-6.27E-05,0.001,0.1,11.9368697
1.04,0.9,1,2,0.7,0.97890625,0.9796875,1,-0.000259436,0.001,0.1,11.2152279
1.04,0.95,1,2,0.7,0.9765625,0.97734375,1,0.000361847,0.001,0.1,11.3720134
1.04,1,1,2,0.7,0.975,0.97578125,1,0.000176865,0.001,0.1,11.4685439
1.06,0.005,1,2,0.7,1.01640625,1.0171875,1,-0.00030683,0.001,0.1,12.0947001
1.06,0.01,1,2,0.7,1.015625,1.01640625,1,0.000235545,0.001,0.1,11.8037989
1.06,0.03,1,2,0.7,1.01484375,1.015625,1,-7.79E-05,0.001,0.1,12.561491
1.06,0.05,1,2,0.7,1.0140625,1.01484375,1,-0.00039226,0.001,0.1,11.7668696
1.06,0.075,1,2,0.7,1.0125,1.01328125,1,-0.000157319,0.001,0.1,13.0427518
1.06,0.1,1,2,0.7,1.0109375,1.01171875,1,8.19E-05,0.001,0.1,18.4950624
1.06,0.15,1,2,0.7,1.00859375,1.009375,1,-0.000254979,0.001,0.1,19.6740275
1.06,0.2,1,2,0.7,1.00546875,1.00625,1,0.000253753,0.001,0.1,11.6563765
1.06,0.25,1,2,0.7,1.003125,1.00390625,1,-7.05E-05,0.001,0.1,11.549439
1.06,0.3,1,2,0.7,1.00078125,1.0015625,1,-0.000359759,0.001,0.1,12.2999939
1.06,0.35,1,2,0.7,0.99765625,0.9984375,1,0.000196425,0.001,0.1,10.5456527
1.06,0.4,1,2,0.7,0.9953125,0.99609375,1,-9.34E-05,0.001,0.1,10.6982656
1.06,0.45,1,2,0.7,0.99296875,0.99375,1,-0.000334999,0.001,0.1,11.0072537
1.06,0.5,1,2,0.7,0.98984375,0.990625,1,0.000268649,0.001,0.1,12.4517721
1.06,0.55,1,2,0.7,0.9875,0.98828125,1,1.33E-05,0.001,0.1,11.1220407
1.06,0.6,1,2,0.7,0.98515625,0.9859375,1,-0.000180671,0.001,0.1,12.027153
